Year,국가,출산율,도시화율,여성 경제활동 비율,1인당 소득
2015,벨기에,1.78,97.9,46.049,45540
2015,벨라루스,1.65,77.2,49.653,6710
2015,벨리즈,2.58,45.4,,4400
2015,보츠와나,3.01,67.2,,6840
2015,볼리비아,3.05,68.4,40.707,2960
2015,부룬디,5.95,12.1,,260
2015,부르키나파소,5.65,27.5,,700
2015,부탄,2.12,38.7,,2520
2015,북마케도니아,1.5,,,5110
2015,북한,1.93,61.3,47.318,
2015,불가리아,1.52,74,46.525,7450
2015,브라질,1.77,85.8,42.717,10190
2015,브루나이,2.02,76.7,,38850
2015,사모아,4.16,,,3960
2015,사우디아라비아,2.73,83.2,16.254,23710
2015,상투메프린시페,4.6,70.2,,1650
2015,샤넬군도,1.58,31,,
2015,서사하라,2.6,,,
2015,세계,2.52,53.9,,10672
2015,세네갈,5,45.9,40.2,1320
2015,세르비아,1.46,,43.737,5960
2015,세이셸,2.38,55.4,,14020
2015,세인트루시아,1.51,18.5,,8740
2015,세인트빈센트그레나딘,2.01,51,,6560
2015,소말리아,6.61,43.2,,290
2015,솔로몬제도,4.44,,,2130
2015,수단,4.75,33.9,29.714,1540
2015,수리남,2.56,66.1,38.284,8890
2015,스리랑카,2.21,18.3,34.265,3760
2015,스웨덴,1.9,86.6,47.699,58420
2015,스위스,1.53,73.7,46.5,88750
2015,스페인,1.33,79.6,46.165,28430
2015,슬로바키아,1.38,53.9,45.257,17670
2015,슬로베니아,1.58,53.8,45.866,22250
2015,시리아,3.1,52.2,16.09,
2015,시에라리온,4.84,40.8,,550
2015,싱가포르,1.23,100,41.65,53160
2015,아랍에미리트,1.7,85.7,16.089,42860
2015,아루바,1.8,,,26560
2015,아르메니아,1.72,63.1,,4010
2015,아르헨티나,2.33,91.5,41.609,12570
2015,아이슬란드,1.98,93.7,,49940
2015,아이티,3.26,52.4,,1390
2015,아일랜드,1.97,62.5,45.187,50390
2015,아제르바이잔,2.09,54.7,49.02,6570
2015,아프가니스탄,5.45,24.8,,600
2015,알바니아,1.71,57.4,41.524,4390
2015,알제리,2.96,70.8,18.211,4850
2015,앙골라,6,63.4,50.051,4520
2015,앤티가바부다,2,25,,12850
2015,에리트레아,4.35,38.2,,
2015,에스와티니,3.14,23.3,,3800
2015,에스토니아,1.59,68.4,48.715,18680
2015,에콰도르,2.56,63.4,39.501,5970
2015,에티오피아,4.85,19.4,46.172,600
2015,엘살바도르,2.17,69.7,41.89,3440
2015,영국,1.87,82.6,46.46,44340
2015,예멘,4.4,34.8,8.111,1200
2015,오만,2.9,81.4,13.246,17450
2015,오스트레일리아,1.89,85.7,45.905,60500
2015,오스트리아,1.45,57.7,46.674,47450
2015,온두라스,2.73,55.2,36.762,2060
2015,요르단,3.4,90.3,17.582,3950
2015,우간다,5.78,22.1,,830
2015,우루과이,2.01,95,45.074,15620
2015,우즈베키스탄,2.43,50.8,41.049,2600
2015,우크라이나,1.49,69.1,47.333,2650
2015,이라크,4.25,69.9,16.013,5800
2015,이란,1.91,73.4,17.271,5370
2015,이스라엘,3.04,92.2,47,36060
2015,이집트,3.45,42.8,23.401,3340
2015,이탈리아,1.42,69.6,42.123,32980
2015,인도,2.4,32.8,20.624,1600
2015,인도네시아,2.45,53.3,38.063,3430
2015,일본,1.41,91.4,42.805,38840
2015,자메이카,2.08,54.8,45.223,4700
2015,잠비아,5.2,41.9,47.94,1580
2015,적도기니,4.99,70.6,,10850
2015,조지아,2,57.4,45.495,4410
2015,중국,1.64,55.5,43.986,7940
2015,중앙아프리카공화국,5.1,40.3,,400
2015,지부티,3.1,77.4,,2730
2015,짐바브웨,4.09,32.4,,1280
2015,차드,6.31,22.5,,880
2015,체코,1.48,73.5,44.208,18370
2015,칠레,1.85,87.4,41.315,14130
2015,카메룬,4.95,54.6,46.952,1440
2015,카보베르데,2.5,64.3,,3210
2015,카자흐스탄,2.67,57.2,48.565,11380
2015,카타르,2,98.9,13.503,73440
2015,캄보디아,2.7,22.2,,1060
2015,캐나다,1.6,81.3,47.052,47590
2015,케냐,4.06,25.7,48.48,1290
2015,코모로,4.6,28.5,,1380
2015,코스타리카,1.85,76.9,39.319,10700
2015,코트디부아르,4.95,49.4,,1660
2015,콜롬비아,1.92,79.8,43.255,7330
2015,콩고,4.7,65.5,48.958,3090
2015,콩고민주공화국,6.4,,,460
2015,쿠바,1.71,76.9,38.853,7230
2015,쿠웨이트,2.1,100,27.088,41820
2015,크로아티아,1.49,56.2,46.492,12970
2015,키르기스스탄,3.3,35.8,41.005,1180
2015,키리바시,3.79,,,3470
2015,키프로스,1.38,66.9,46.426,25980
2015,타지키스탄,3.61,26.7,,1260
2015,탄자니아,5.24,31.6,48.19,980
2015,태국,1.53,47.7,,5710
2015,터키,2.12,73.6,31.73,12030
2015,토고,4.69,40.1,49.595,640
2015,통가,3.79,,,4440
2015,투르크메니스탄,3,50.3,41.124,7030
2015,튀니지,2.25,68.1,26.88,3960
2015,트리니다드토바고,1.8,53.3,41.816,18910
2015,파나마,2.6,66.7,39.228,12200
2015,파라과이,2.6,60.8,39.528,5640
2015,파키스탄,3.78,36,21.952,1260
2015,파푸아뉴기니,3.84,13,48.543,2860
2015,페루,2.4,77.4,45.635,6340
2015,포르투갈,1.28,63.5,48.85,20440
2015,폴란드,1.33,60.3,44.803,13310
2015,푸에르토리코,1.5,93.6,,19420
2015,프랑스,1.98,79.7,47.721,41100
2015,프랑스령폴리네시아,2.04,,,
2015,피지,2.79,54.7,33.692,5100
2015,핀란드,1.77,85.2,48.288,47150
2015,필리핀,3.05,46.3,39.735,3380
2015,한국,1.23,81.6,41.589,28720
2015,헝가리,1.33,70.5,45.796,13250
2015,홍콩,1.2,100,48.612,41180
